Student_ID,Attendance_Rate,Study_Hours,Previous_Scores,Internet_Access,Result
1001,82.5,2.3,89.4,No,Pass
1002,72.9,3.3,57.5,Yes,Fail
1003,84.7,2.5,89.6,Yes,Pass
1004,97.8,4.5,98.3,No,Pass
1005,71.5,8.3,53.4,Yes,Pass
1006,71.5,2.1,83.4,Yes,Fail
1007,98.7,7.9,75.1,Yes,Pass
1008,86.5,7.6,63.5,Yes,Pass
1009,68.0,7.4,87.3,Yes,Pass
1010,83.1,4.3,71.5,No,Pass
1011,,2.3,66.8,Yes,Pass
1012,68.0,13.1,83.9,Yes,Pass
1013,78.6,10.3,76.2,Yes,Pass
1014,46.3,4.4,61.3,Yes,Pass
1015,49.1,5.0,62.5,Yes,Fail
1016,66.6,3.4,76.8,Yes,Pass
1017,59.8,0.7,67.6,Yes,Fail
1018,79.7,3.9,81.0,Yes,Pass
1019,61.4,6.0,65.7,Yes,Pass
1020,53.8,2.7,70.4,Yes,Fail
1021,97.0,3.3,91.6,Yes,Pass
1022,71.6,3.2,94.8,Yes,Fail
1023,76.0,4.6,74.2,Yes,Pass
1024,53.6,3.5,65.0,No,Fail
1025,66.8,2.0,75.8,Yes,Pass
1026,76.7,4.6,88.0,Yes,Pass
1027,57.7,5.8,57.9,Yes,Pass
1028,80.6,4.9,81.3,Yes,Pass
1029,66.0,0.7,47.9,Yes,Fail
1030,70.6,6.6,72.6,Yes,Pass
1031,66.0,1.5,83.7,Yes,Fail
1032,,5.7,82.7,Yes,Pass
1033,74.8,5.9,79.2,No,Pass
1034,59.1,1.0,64.3,Yes,Fail
1035,87.3,7.7,75.1,Yes,Pass
1036,56.7,13.0,78.1,Yes,Pass
1037,78.1,3.3,68.6,Yes,Pass
1038,45.6,5.7,65.7,Yes,Fail
1039,55.1,2.9,70.6,Yes,Fail
1040,78.0,1.5,70.5,Yes,Fail
1041,86.1,8.2,84.6,Yes,Pass
1042,77.6,5.8,69.5,Yes,Fail
1043,73.3,2.4,81.9,Yes,Pass
1044,70.5,1.6,62.1,No,Pass
1045,52.8,13.4,63.0,Yes,Pass
1046,64.2,1.2,69.6,Yes,Fail
1047,68.1,6.4,85.2,Yes,Pass
1048,90.9,4.8,86.9,No,Pass
1049,80.2,7.2,89.7,Yes,Pass
1050,48.6,11.2,69.8,No,Pass
1051,79.9,0.2,85.4,No,Pass
1052,,1.7,71.3,Yes,Fail
1053,64.8,3.8,82.6,Yes,Pass
1054,84.2,11.8,78.5,Yes,Pass
1055,90.5,3.0,68.0,Yes,Pass
1056,89.0,2.6,82.4,Yes,Fail
1057,62.4,0.4,75.7,Yes,Fail
1058,70.4,2.3,59.1,Yes,Fail
1059,80.0,6.3,71.1,Yes,Fail
1060,89.6,3.8,72.5,Yes,Fail
1061,67.8,2.3,81.8,Yes,Pass
1062,72.2,13.5,92.8,Yes,Pass
1063,58.4,3.3,67.1,Yes,Fail
1064,57.1,4.6,73.9,Yes,Pass
1065,87.2,2.2,88.7,Yes,Pass
1066,95.3,1.5,100.0,No,Pass
1067,73.9,6.9,70.4,No,Pass
1068,90.1,0.8,82.9,Yes,Fail
1069,80.4,5.9,76.8,Yes,Pass
1070,65.3,5.3,73.4,Yes,Fail
1071,80.4,1.6,100.0,Yes,Pass
1072,98.1,2.0,89.4,Yes,Pass
1073,74.5,3.3,68.7,Yes,Fail
1074,98.5,1.4,77.7,Yes,Fail
1075,35.7,0.6,70.4,Yes,Fail
1076,87.3,3.6,75.1,Yes,Pass
1077,76.3,7.1,84.8,Yes,Pass
1078,70.5,4.9,68.5,No,Fail
1079,76.4,8.9,65.5,Yes,Pass
1080,45.2,3.0,68.7,Yes,Fail
1081,71.7,4.3,69.5,No,Pass
1082,80.4,2.0,84.5,Yes,Pass
1083,97.2,4.4,93.6,No,Pass
1084,67.2,8.6,79.1,No,Pass
1085,62.9,6.0,68.8,Yes,Fail
1086,67.5,9.4,80.6,Yes,Pass
1087,88.7,5.1,75.1,No,Pass
1088,79.9,3.8,55.4,Yes,Pass
1089,67.1,11.2,80.6,Yes,Pass
1090,82.7,4.6,83.0,No,Pass
1091,76.5,12.9,72.1,Yes,Pass
1092,89.5,7.8,70.0,Yes,Pass
1093,64.5,2.4,51.9,No,Fail
1094,70.1,3.6,75.6,Yes,Pass
1095,69.1,11.2,91.0,Yes,Pass
1096,53.0,8.9,65.1,Yes,Fail
1097,79.4,7.0,76.1,Yes,Pass
1098,78.9,6.5,79.2,Yes,Pass
1099,75.1,1.3,99.3,Yes,Fail
1100,71.5,1.6,83.3,Yes,Fail
1101,53.8,5.0,57.6,Yes,Fail
1102,68.7,2.0,74.6,Yes,Pass
1103,69.9,3.4,78.3,Yes,Pass
1104,63.0,3.2,60.9,No,Fail
1105,72.6,6.3,83.9,Yes,Pass
1106,81.1,5.1,72.4,Yes,Pass
1107,100.0,8.5,74.9,Yes,Pass
1108,77.6,5.2,79.6,No,Pass
1109,78.9,4.9,78.6,Yes,Pass
1110,73.9,4.2,76.9,Yes,Pass
1111,46.2,9.3,55.5,Yes,Fail
1112,74.6,4.2,71.0,Yes,Pass
1113,75.9,2.3,89.2,Yes,Pass
1114,100.0,6.7,94.4,Yes,Pass
1115,72.1,3.8,66.5,Yes,Fail
1116,79.5,7.8,60.2,Yes,Pass
1117,74.5,10.0,68.1,Yes,Pass
1118,57.5,3.6,70.3,Yes,Pass
1119,92.1,9.8,79.7,Yes,Pass
1120,86.3,7.9,76.1,Yes,Pass
1121,86.9,2.7,77.6,Yes,Pass
1122,61.4,2.0,70.0,Yes,Fail
1123,96.0,1.9,95.8,Yes,Pass
1124,54.0,1.5,67.0,Yes,Fail
1125,83.8,9.2,82.5,Yes,Pass
1126,100.0,3.6,87.8,Yes,Pass
1127,60.1,2.4,65.1,Yes,Fail
1128,66.5,2.8,82.2,Yes,Pass
1129,76.5,6.1,85.7,Yes,Pass
1130,67.4,11.9,94.2,Yes,Pass
1131,51.7,2.7,72.0,Yes,Pass
1132,76.0,7.3,73.0,Yes,Fail
1133,59.1,4.2,60.5,Yes,Fail
1134,82.1,6.1,90.6,Yes,Pass
1135,61.2,2.1,62.5,Yes,Fail
1136,98.2,6.8,97.2,Yes,Pass
1137,63.3,3.4,64.1,Yes,Fail
1138,70.2,2.9,78.6,Yes,Pass
1139,87.2,4.1,73.0,Yes,Pass
1140,56.5,6.4,76.0,Yes,Pass
1141,78.4,3.7,66.9,Yes,Fail
1142,94.6,2.9,90.0,Yes,Pass
1143,50.9,3.8,63.5,Yes,Fail
1144,77.8,3.7,79.9,Yes,Fail
1145,78.9,6.0,75.5,Yes,Pass
1146,86.7,3.1,79.2,No,Pass
1147,56.4,3.0,69.7,Yes,Fail
1148,55.2,2.2,57.6,Yes,Fail
1149,82.8,6.3,71.3,Yes,Pass
1150,79.5,4.6,76.2,Yes,Pass
1151,78.8,9.3,75.4,No,Pass
1152,80.2,8.5,70.0,Yes,Pass
1153,64.8,5.0,81.6,Yes,Pass
1154,78.5,3.9,75.9,Yes,Fail
1155,79.4,4.2,77.4,Yes,Fail
1156,64.3,2.5,58.9,Yes,Fail
1157,100.0,2.2,100.0,No,Pass
1158,82.1,1.9,100.0,Yes,Pass
1159,57.1,3.6,60.7,Yes,Pass
1160,84.8,0.3,94.7,Yes,Pass
1161,,11.6,69.3,Yes,Pass
1162,86.8,1.7,99.4,Yes,Pass
1163,92.4,13.7,89.6,Yes,Pass
1164,62.7,1.8,72.3,Yes,Pass
1165,89.5,4.2,59.8,No,Fail
1166,81.2,5.5,71.8,Yes,Pass
1167,,4.5,83.9,Yes,Pass
1168,100.0,2.7,92.0,Yes,Pass
1169,71.3,2.6,63.5,Yes,Pass
1170,63.7,7.4,64.6,Yes,Pass
1171,61.7,9.5,76.4,Yes,Pass
1172,62.8,0.8,57.6,Yes,Fail
1173,73.8,5.0,78.2,Yes,Pass
